title,genre,rating,year_release,language,director
Myth of Caldera,Romance,6.4,1967,Italian,Elena Garcia
Voyage of Solace,Drama,8.2,1950,Hungarian,Jonas Gupta
3 Days in Ravenna,Action,2.4,2009,French,Hiro Kim
Empire of Nerida,Action,3.3,2019,Telugu,Aisha Khan
Leaving the Voyage,Comedy,8.9,1967,Norwegian,Marta Nakamura
The Forgotten Chronicle,Documentary,6.5,1962,Hindi,Anika Kapoor
4 Days in Valoria,Biography,5.6,1965,Serbian,Nadia Iyer
The Broken Orbit,Horror,7.9,1988,Japanese,Priya Nowak
4 Days in Avalon,Documentary,5.0,2016,Romanian,Priya Garcia
The Lone Feather,Sci-Fi,4.0,1997,French,Karan Rossi
9 Days in Aramore,Family,7.7,1953,Cantonese,Nadia Kowalski
Return to Eldoria,Horror,7.9,2011,Portuguese,Ananya Patel
Burning Voyage,Sci-Fi,7.3,1972,Mandarin,Luca Haddad
Finding the Horizon,Crime,4.0,2016,Ukrainian,Lucia Nakamura
The Silent Odyssey,Sci-Fi,7.8,1986,Portuguese,Rohan Romero
Shattered River,Fantasy,5.7,1988,Serbian,Piotr Kowalski
Return to Valoria,War,1.9,1977,Kannada,Anika Kowalski
Return to Vesper,Horror,2.8,2022,Portuguese,Jamal Horváth
Path of Aramore,War,6.7,2006,Swedish,Noah Petrescu
The Shattered Crown,Crime,8.1,1983,Danish,Jamal Levy
Empire of Arcadia,Fantasy,7.8,1982,Romanian,Karan Kuznetsov
Return to Ravenna,Action,5.8,1975,Swedish,Jamal Sharma
Breaking the River,Romance,2.4,2021,Arabic,Ali Santos
Forgiving the Crown,Horror,7.7,1964,Spanish,Lucia Singh
Return to Valoria,War,5.5,1981,Mandarin,Aisha Khan
Forgiving the Crown,Musical,5.9,2017,Filipino,Piotr Horváth
Return to Veridian,Noir,2.3,2002,Kannada,Arun Horváth
Midnight Feather,Noir,5.3,1990,Polish,Nadia Nguyen
33 Days in Orion,Animation,7.0,2023,Arabic,Nadia Hansen
Flame of Ravenna,Crime,2.5,1960,Malayalam,Kenji Rossi
The Hidden Empire,Romance,7.7,1958,Mandarin,Maya Gupta
Wild Horizon,Adventure,2.8,1993,Hebrew,Lucia Singh
Return to Vesper,Drama,7.8,2009,Dutch,Aarav Garcia
27 Days in Veridian,Drama,7.3,1994,French,Ingrid Zhang
Promise of Drakenfell,Historical,5.1,1977,Romanian,Mikhail Rossi
Myth of Veridian,Mystery,7.0,2014,Telugu,Elena Novak
The Restless Storm,Noir,5.3,2002,Mandarin,Maya Nakamura
16 Days in Orion,Horror,6.6,1986,Indonesian,Omar Garcia
Return to Arcadia,Action,4.7,1966,Thai,Piotr Kowalski
Return to Eldoria,Family,7.2,1993,Telugu,Jonas Sharma
The Restless Mask,Documentary,5.1,1988,Mandarin,Jonas Iyer
Emerald Legacy,Documentary,3.2,2021,Portuguese,Lea Ionescu
8 Days in Orion,Sci-Fi,4.6,1981,Spanish,Chang Nguyen
Surviving the Canvas,Sport,6.2,2023,Mandarin,Luca Romero
21 Days in Eldoria,Adventure,5.3,2006,Telugu,Noah Zhang
Storm of Valoria,Horror,7.7,1952,Filipino,Aisha Park
Return to Eldoria,Documentary,6.7,2006,Bulgarian,Jonas Gupta
Crimson Riddle,Noir,4.0,1982,Mandarin,Marta Rossi
Return to Drakenfell,Action,7.1,1967,Korean,Rohan Gupta
Breaking the Shadow,Western,8.0,1984,Malayalam,Jiwoo Haddad
Harbor of Solace,Animation,4.4,1988,Turkish,Ingrid Iyer
Eternal River,Adventure,8.9,1980,Hungarian,Jonas Ivanov
Return to Nerida,Action,3.2,2000,Thai,Luca Tanaka
8 Days in Arcadia,Sci-Fi,6.6,2001,Arabic,Priya Verma
The Brave Chronicle,Biography,3.1,2004,Bengali,Luca Sarkar
Forgiving the Feather,Thriller,1.9,1999,Mandarin,Jonas Singh
Mirror of Lunaris,Drama,8.0,1970,Ukrainian,Mikhail Tanaka
Return to Drakenfell,Animation,6.1,1981,Indonesian,Diego Rossi
Return to Aramore,Drama,8.0,1957,Dutch,Seojun Park
The Azure Shadow,Noir,6.8,1951,Kannada,Rohan Ionescu
The Bright Whisper,Romance,5.5,1967,Hebrew,Jiwoo Costa
Return to Avalon,Thriller,4.5,1987,Bengali,Carlos Rossi
The Crimson Canvas,Historical,5.7,1980,English,Marta Haddad
Return to Veridian,Biography,6.2,1964,Hindi,Marta Ionescu
33 Days in Veridian,Sport,7.2,1986,Swedish,Yara Kowalski
Return to Arcadia,Noir,7.0,1953,Hindi,Mikhail Ivanov
The Sacred Dream,War,6.5,1972,Bulgarian,Lea Kuznetsov
The Fierce Labyrinth,Historical,4.5,1963,Indonesian,Mikhail Petrescu
Feather of Orion,Crime,2.5,1977,Romanian,Isha Chakraborty
16 Days in Avalon,Drama,3.8,1994,Bengali,Ali Kim
The Dark Legacy,Adventure,7.2,2018,Greek,Elena Sharma
12 Days in Valoria,Horror,4.7,2005,Italian,Seojun Nguyen
The Sacred Shadow,Family,6.2,2025,Telugu,Maya Hansen
Chasing the Beacon,Western,6.9,1951,Hindi,Li Rossi
Pulse of Kandara,Crime,8.5,2018,Tamil,Karan Zhang
Bright Promise,Biography,7.9,1987,Spanish,Priya Horváth
Return to Eldoria,Biography,7.3,1992,Malayalam,Arun Petrescu
Mask of Lunaris,Action,5.7,1984,Malayalam,Aarav Gupta
The Secret Flame,Family,5.6,1966,Russian,Vikram Patel
Return to Ravenna,Crime,6.3,1987,Ukrainian,Piotr Park
Last Promise,Biography,2.9,2006,Cantonese,Noah Haddad
Return to Lunaris,Adventure,7.8,1955,Russian,Anika Nowak
Embracing the Orbit,Historical,5.8,2025,Hindi,Seojun Ivanov
Curious Chronicle,Biography,7.4,1962,Indonesian,Ingrid Patel
The Restless Canvas,Sport,7.0,1954,Cantonese,Noah Levy
33 Days in Kandara,Family,2.3,1962,Bulgarian,Li Ivanov
Promise of Ravenna,Thriller,5.1,1961,Kannada,Priya Sarkar
The Emerald River,Thriller,7.4,1980,Kannada,Mina Fernandes
The Burning Shadow,Fantasy,5.6,1958,Greek,Sofia Santos
13 Days in Vesper,Noir,9.9,2012,Polish,Jonas Garcia
16 Days in Lunaris,Thriller,3.1,1986,Tamil,Marta Costa
The Azure Mask,Thriller,6.2,2006,Hindi,Lea Santos
5 Days in Vesper,War,5.3,2023,Arabic,Jamal Garcia
Promise of Eldoria,Fantasy,6.4,1981,Korean,Anika Kowalski
The Golden Storm,Noir,8.9,1984,English,Vikram Fernandes
Fading Feather,Historical,4.9,1978,Swedish,Isha Nowak
Crossing the Whisper,Mystery,5.4,2022,Thai,Luca Kim
The Radiant Mask,Action,4.5,1977,Malayalam,Sofia Iyer
Return to Caldera,War,4.7,1950,Russian,Ravi Kuznetsov
Seeking the Dream,Adventure,3.9,1959,Hungarian,Nadia Garcia
16 Days in Vesper,War,5.7,2023,Romanian,Li Rossi
Restless Fortress,Documentary,8.4,1950,Korean,Karan Park
27 Days in Nerida,Action,5.2,1986,English,Ali Petrescu
Restless Legacy,War,6.0,1991,Romanian,Zara Kapoor
33 Days in Aramore,Thriller,5.1,2000,Swedish,Nadia Petrov
The Restless Shadow,Mystery,3.1,2001,Swedish,Noah Yamamoto
Lone Fortress,Documentary,5.8,1996,Romanian,Lucia Levy
Crimson Harbor,Crime,8.1,2001,Persian,Li Rossi
Finding the Riddle,Adventure,6.8,1951,Malayalam,Arun Haddad
Ancient Myth,Fantasy,4.9,2025,Serbian,Jamal Johansson
7 Days in Caldera,Mystery,8.5,2010,Thai,Neha Petrescu
9 Days in Valoria,Historical,3.9,2003,Serbian,Chang Patel
Return to Kandara,War,2.0,2015,Russian,Mikhail Sharma
Forgiving the Chronicle,Comedy,5.4,1979,Polish,Neha Novak
The Midnight Empire,Fantasy,8.0,1982,Vietnamese,Jiwoo Petrov
Ancient Flame,Family,5.4,1963,Bulgarian,Kenji Khan
8 Days in Nerida,Romance,6.8,1950,Bengali,Neha Kapoor
Harbor of Vesper,Biography,7.2,1999,Hungarian,Mikhail Zhang
Legacy of Avalon,Documentary,4.6,1963,Kannada,Maya Novak
Curious Crown,Noir,2.5,1967,German,Jiwoo Nakamura
Fierce Myth,Crime,5.7,1975,Filipino,Aisha Nguyen
Return to Veridian,Musical,9.6,2023,Indonesian,Ingrid Haddad
Return to Aramore,Adventure,6.8,2024,Cantonese,Omar Hansen
Brave Feather,Sport,7.3,1976,English,Elena Petrescu
21 Days in Kandara,Thriller,7.9,2021,Cantonese,Lea Ionescu
Awakening the River,Horror,3.0,2007,Malayalam,Karan Tanaka
Restless Path,Comedy,5.4,2013,Persian,Marta Nakamura
Leaving the Chronicle,Western,7.2,1998,Hindi,Isha Chakraborty
Crown of Caldera,Musical,8.3,1958,German,Ingrid Haddad
Return to Vesper,Sport,8.9,1990,English,Diego Nakamura
Return to Aramore,Biography,8.2,1992,Portuguese,Mina Iyer
The Bright Myth,Fantasy,3.3,1986,Greek,Aisha Kowalski
Return to Lunaris,Documentary,6.4,1981,Hebrew,Aisha Costa
The Curious Beacon,Noir,6.5,2009,Ukrainian,Rohan Patel
